iter	Passed	Remaining
0	701	69450
1	1183	57992
2	1809	58501
3	2402	57670
4	2857	54288
5	3450	54050
6	3914	52008
7	4406	50670
8	4852	49063
9	5289	47608
10	5712	46217
11	6136	44997
12	6576	44012
13	7002	43012
14	7543	42744
15	7989	41942
16	8409	41056
17	8823	40194
18	9236	39377
19	9663	38653
20	10130	38110
21	10554	37419
22	10966	36713
23	11358	35968
24	11773	35320
25	12191	34699
26	12576	34004
27	13114	33723
28	13576	33239
29	14044	32770
30	14435	32130
31	14824	31501
32	15217	30895
33	15632	30345
34	16032	29773
35	16436	29221
36	16852	28694
37	17236	28122
38	17643	27595
39	18072	27108
40	18537	26675
41	19116	26399
42	19592	25971
43	19982	25431
44	20437	24978
45	20950	24594
46	21363	24090
47	21796	23613
48	22181	23087
49	22588	22588
50	23036	22133
51	23459	21655
52	23947	21236
53	24526	20892
54	24940	20406
55	25360	19926
56	25761	19433
57	26395	19114
58	26854	18661
59	27276	18184
60	27720	17722
61	28114	17231
62	28558	16772
63	28978	16300
64	29460	15863
65	29965	15436
66	30397	14971
67	30809	14498
68	31214	14023
69	31613	13548
70	32039	13086
71	32448	12618
72	32843	12147
73	33260	11686
74	33744	11248
75	34178	10793
76	34654	10351
77	35174	9921
78	35705	9491
79	36255	9063
80	36718	8612
81	37262	8179
82	37657	7712
83	38066	7250
84	38474	6789
85	38902	6333
86	39282	5869
87	39661	5408
88	40063	4951
89	40475	4497
90	40980	4052
91	41424	3602
92	41842	3149
93	42256	2697
94	42684	2246
95	43077	1794
96	43471	1344
97	43868	895
98	44280	447
99	44670	0
